Author ID,Author Name,Author URL
39481716,m. corry,https://www.semanticscholar.org/author/39481716
1400383433,catalina amuedo-dorantes,https://www.semanticscholar.org/author/1400383433
4059419,cynthia bansak,https://www.semanticscholar.org/author/4059419
40392273,susan pozo,https://www.semanticscholar.org/author/40392273
47693041,g. myrdal,https://www.semanticscholar.org/author/47693041
72083874,peter r. cox,https://www.semanticscholar.org/author/72083874
143872174,d. wood,https://www.semanticscholar.org/author/143872174
98280500,s. patterson,https://www.semanticscholar.org/author/98280500
144622287,a. richmond,https://www.semanticscholar.org/author/144622287
16619731,h. dicks,https://www.semanticscholar.org/author/16619731
50478197,e. boulding,https://www.semanticscholar.org/author/50478197
92204658,b. benedict,https://www.semanticscholar.org/author/92204658
38827526,j. e. spence,https://www.semanticscholar.org/author/38827526
48247979,p. newman,https://www.semanticscholar.org/author/48247979
118896966,c. frantz,https://www.semanticscholar.org/author/118896966
100905801,c. rogers,https://www.semanticscholar.org/author/100905801
69531161,philip h mason,https://www.semanticscholar.org/author/69531161
92776999,r. e. baldwin,https://www.semanticscholar.org/author/92776999
144238701,v. purcell,https://www.semanticscholar.org/author/144238701
66165691,s. hatch,https://www.semanticscholar.org/author/66165691
49368366,m. gluckman,https://www.semanticscholar.org/author/49368366
114223632,a. tay,https://www.semanticscholar.org/author/114223632
66006283,p. mcewan,https://www.semanticscholar.org/author/66006283
144121431,w. gutteridge,https://www.semanticscholar.org/author/144121431
51406612,a. d. grimshaw,https://www.semanticscholar.org/author/51406612
117482715,malcolm j. c. calley,https://www.semanticscholar.org/author/117482715
93490571,p. a. stouse,https://www.semanticscholar.org/author/93490571
119401871,hon. alexander cachia zammit,https://www.semanticscholar.org/author/119401871
88656203,charles archibald price,https://www.semanticscholar.org/author/88656203
89411404,w. f. geyl,https://www.semanticscholar.org/author/89411404
48589554,f. herrera,https://www.semanticscholar.org/author/48589554
113184710,g. beijer,https://www.semanticscholar.org/author/113184710
50002775,j. j. mol,https://www.semanticscholar.org/author/50002775
152546930,a. richardson,https://www.semanticscholar.org/author/152546930
114018648,manuel diégues,https://www.semanticscholar.org/author/114018648
2450609,l. katzen,https://www.semanticscholar.org/author/2450609
116999911,m. zañartu,https://www.semanticscholar.org/author/116999911
1787228,w. burns,https://www.semanticscholar.org/author/1787228
48216558,i. m. lewis,https://www.semanticscholar.org/author/48216558
152817095,emery f. bacon,https://www.semanticscholar.org/author/152817095
117765297,o. d. wollheim,https://www.semanticscholar.org/author/117765297
70623767,r. b. davison,https://www.semanticscholar.org/author/70623767
50300463,a. sharf,https://www.semanticscholar.org/author/50300463
103694610,john harré,https://www.semanticscholar.org/author/103694610
66579899,p. fordham,https://www.semanticscholar.org/author/66579899
16655895,h. wiltshire,https://www.semanticscholar.org/author/16655895
116100719,g. k. animashawun,https://www.semanticscholar.org/author/116100719
89708020,a. paredes,https://www.semanticscholar.org/author/89708020
79870259,r. thompson,https://www.semanticscholar.org/author/79870259
116548271,harley ross hammond,https://www.semanticscholar.org/author/116548271
104866497,lillian ota dotson,https://www.semanticscholar.org/author/104866497
108350936,leo kuper,https://www.semanticscholar.org/author/108350936
12121973,m. banton,https://www.semanticscholar.org/author/12121973
16691034,h. tajfel,https://www.semanticscholar.org/author/16691034
97504441,desmond m. connor,https://www.semanticscholar.org/author/97504441
117699057,eugenio pérez botija,https://www.semanticscholar.org/author/117699057
119108201,por jerzy zubrzycki,https://www.semanticscholar.org/author/119108201
118676468,p. bideberry,https://www.semanticscholar.org/author/118676468
49828496,g. germani,https://www.semanticscholar.org/author/49828496
107740573,a. k. constandse,https://www.semanticscholar.org/author/107740573
