Journal Name,Journal Publisher
Journal of Immigrant and Refugee Studies,Routledgeinfo@tandf.co.uk
Identities,Taylor and Francis Ltd.
Ethnic and Racial Studies,Routledge
Asian and Pacific Migration Journal,Scalabrini Migration Centerclaims@sagepub.com
Journal of Ethnic and Migration Studies,Routledgeinfo@tandf.co.uk
Comparative Migration Studies,Springer
"International Journal of Migration, Health and Social Care",Emerald Group Holdings Ltd.usinfo-f@elsevier.com
Journal of Diversity in Higher Education,American Psychological Associationjournals@apa.org
Journal of Studies in International Education,SAGE Publications Inc.
Patterns of Prejudice,Routledge
Journal of Migration History,Brill Academic Publishers
Journal of Black Studies,SAGE Publications Inc. claims@sagepub.com
Journal of Ethnic and Migration Studies,Carfax Publishing Company
Migration Studies,Oxford University Pressjnl.info@oup.co.uk
Patterns of Prejudice,Routledgeinfo@tandf.co.uk
Ethnicities,SAGE Publications Ltd
Race Ethnicity and Education,Routledgeinfo@tandf.co.uk
European Journal of Migration and Law,Kluwer Law International
Cultural Diversity and Ethnic Minority Psychology,American Psychological Association Inc.
Journal of Refugee Studies,Oxford University Pressjnl.info@oup.co.uk
Asian and Pacific Migration Journal,Scalabrini Migration Center40 Matapat St.Bay Pinyahan
Asian and Pacific Migration Journal,1100 Quezon city
Race and Class,SAGE Publications Ltd
International Migration Review,Blackwell Publishing Inc.info@sagepub.co.uk
Journal of Diversity in Higher Education,American Psychological Association750 First Street
Journal of Diversity in Higher Education,NEWashingtonDC 20002-4242journals@apa.org
Asian and Pacific Migration Journal,Scalabrini Migration Center
Race and Class,SAGE Publications Inc.
Latino Studies,Palgrave Macmillan Ltd.journal-info@palgrave.com
Cultural Diversity and Ethnic Minority Psychology,American Psychological Association750 First Street
Cultural Diversity and Ethnic Minority Psychology,NEWashingtonDC 20002-4242journals@apa.org
Race Ethnicity and Education,Carfax Publishing Company
International Migration,Blackwell Publishing Ltd
Ethnicity and Health,Carfax Publishing Company
Asian and Pacific Migration Journal,SAGE Publications Inc. claims@sagepub.com
Journal of Diversity in Higher Education,American Psychological Association Inc.journals@apa.org
International Migration,Blackwell Publishing Ltdinfo@royensoc.co.uk
Ethnic and Racial Studies,Routledgeinfo@tandf.co.uk
Cultural Diversity and Ethnic Minority Psychology,American Psychological Association Inc.journals@apa.org
"International Journal of Migration, Health and Social Care",Emerald Group Publishing Ltd.Howard HouseWagon Lane
"International Journal of Migration, Health and Social Care",BingleyBD16 1WA
Refugee Survey Quarterly,Oxford University Pressjnls.cust.serv@oupjournals.org
Ethnicities,SAGE Publications Ltdinfo@sagepub.co.uk
Journal of Black Studies,SAGE Publications Inc.
Comparative Migration Studies,Springer Science and Business Media Deutschland GmbHinfo@springer-sbm.com
International Migration Review,Blackwell Publishing Inc.
Mobilities,Routledge
Cultural Diversity and Mental Health,John Wiley and Sons Inc.
Latino Studies,Palgrave Macmillan Ltd.HoundmillsBasingstoke
Latino Studies,Hants.RG21 6XSjournal-info@palgrave.com
Migration Letters,Migration Letterssales@tplondon.com
"Population, Space and Place",John Wiley and Sons LtdSouthern GateChichester
"Population, Space and Place",West SussexPO19 8SQ
